Year,MALE_TW_NO_OF_WORKERS,MALE_TW_MEDIAN_EARNINGS,MALE_TW_MARGIN_OF_ERROR,FEMALE_TW_NO_OF_WORKERS,FEMALE_TW_MEDIAN_EARNINGS,FEMALE_TW_MARGIN_OF_ERROR,MALE_FTYA_NO_OF_WORKERS,MALE_FTYA_MEDIAN_INCOME,MALE_FTYA_MARGIN_OF_ERROR,FEMALE_FTYA_NO_OF_WORKERS,FEMALE_FTYO_MEDIAN_INCOME,FEMALE_FTYO_MARGIN_OF_ERROR,FEMALE_TO_MALE_EARNINGS_MULTIPLIER
1988,"70,470","48,090",434,"60,660","25,890",303,"48,290","62,200",449,"31,240","41,080",484,0.660
1987 15,"69,550","47,950",577,"59,360","25,690",279,"47,010","62,780",430,"29,910","40,920",314,0.652
1986,"68,730","46,980",572,"57,690","25,050",342,"45,910","63,180",444,"28,420","40,600",350,0.643
1985 16,"67,810","45,200",565,"56,300","23,720",393,"44,940","61,520",590,"27,380","39,730",343,0.646
1984 17,"66,450","44,760",411,"55,230","22,810",363,"43,810","61,040",515,"26,470","38,860",376,0.637
1983,"65,140","44,020",397,"53,110","22,540",270,"41,530","59,930",451,"25,170","38,120",383,0.636
1982,"64,730","43,870",408,"51,820","21,940",263,"40,110","60,150",418,"23,700","37,140",413,0.617
1981,"65,230","45,580",428,"51,940","21,860",259,"41,770","61,320",354,"23,330","36,320",249,0.592
1980,"64,730","46,460",529,"51,450","21,960",295,"41,880","61,710",513,"22,860","37,130",267,0.602
1979 18,"64,650","47,670",527,"50,900","22,010",309,"42,440","62,640",406,"22,080","37,370",315,0.597
1978,"62,900","48,910",391,"48,400","21,160",318,"41,040","63,400",358,"20,910","37,690",345,0.594
1977,"61,700","47,530",404,"46,190","20,130",290,"39,260","62,980",489,"19,240","37,110",276,0.589
1976 19,"60,450","47,230",354,"44,570","19,700",302,"38,180","61,690",400,"18,070","37,130",302,0.602
1975 20,"59,270","46,880",415,"42,930","19,160",335,"37,270","61,830",399,"17,450","36,370",303,0.588
"1974 20, 21","59,870","47,890",N,"42,850","18,710",N,"37,920","62,280",440,"16,950","36,590",294,0.588
1973,"59,440","50,060",N,"41,580","18,840",N,"39,580","64,500",N,"17,200","36,530",N,0.566
1972 22,"57,770","48,890",N,"39,470","19,470",N,"38,180","62,420",N,"16,680","36,120",N,0.579
1971 23,"56,890","46,720",N,"38,490","18,880",N,"36,820","59,430",N,"16,000","35,370",N,0.595
1970,"55,820","47,150",N,"38,270","18,000",N,"36,130","59,110",N,"15,480","35,090",N,0.594
1969,"55,270","47,700",N,"37,740","17,730",N,"37,010","56,890",N,"15,370","34,410",N,0.605
1968,"54,030","46,430",N,"35,700","18,110",N,"37,070","55,240",N,"15,010","32,120",N,0.582
1967 24,"53,220","45,110",N,"34,390","17,620",N,"36,650","53,820",N,"14,850","31,100",N,0.578
1966 25,N,"45,640",N,N,"18,280",N,N,"53,010",N,N,"30,510",N,0.576
1965 26,N,"42,950",N,N,"18,430",N,N,"50,780",N,N,"30,430",N,0.599
1964,N,"42,700",N,N,"17,330",N,N,"50,240",N,N,"29,720",N,0.591
1963,N,"45,240",N,N,"16,630",N,N,"48,900",N,N,"28,830",N,0.589
1962 27,N,"40,770",N,N,"16,280",N,N,"47,740",N,N,"28,310",N,0.593
1961 28,N,"39,520",N,N,"15,680",N,N,"46,880",N,N,"27,780",N,0.592
1960,N,"38,080",N,N,"15,480",N,N,"45,430",N,N,"27,560",N,0.607
