year,brackets,rate,notes
1942-1945,"First $5,000",25%,
1942-1945,"Next $15,000",27%,"Beginning with Tax Year 1942, gains on the sale of assets held for more than 6 months (long-term capital gains) could be treated separately from other taxable income and taxed at a maximum rate of 25 percent."
1942-1945,"Next $5,000",29%,
1942-1945,"Next $25,000",53%,
1942-1945,"Taxable income over $50,000",40%,
1941,"Taxable income $38,461.54 or less:",,"These rates are the sum of the “normal tax” rates and the “surtax” rates, which actually applied to slightly different definitions of taxable income."
1941,"First $5,000",21%,
1941,"Next $15,000",23%,
1941,"Next $5,000",25%,
1941,"Next $13,461.54",44%,
1941,"Taxable income over $38,461.54",31%,
1940,"Taxable income $31,964.30 or less:",,"From June 1940 to the end of 1945, a tax on profits in excess of average prewar earnings was also imposed.  It was taken into account, as either a deduction or a credit, for the income tax and the other excess profits tax."
1940,"First $5,000",14.85%,The rates for 1940 include extra “defense tax” rates that are integrated with the regular rates in later years.
1940,"Next $15,000",16.50%,
1940,"Next $5,000",18.70%,
1940,"Next $6,964.30",38.30%,
1940,"Taxable income over $31,964.30, not over $38,565.84:",,
1940,"First $5,000",15.40%,
1940,"Next $15,000",16.90%,
1940,"Next $5,000",18.90%,
1940,"Next $13,565.84",36.90%,
1940,"Taxable income over $38,565.84",24%,
1938-1939,"Taxable income $25,000 or less:",,
1938-1939,"First $5,000",12.50%,
1938-1939,"Next $15,000",14%,
1938-1939,"Next $5,000",16%,
1938-1939,"Taxable income over $25,000",19%,
1936-1937,"First $2,000",8%,An additional surtax ranging from 7 percent to 27 percent was imposed on undistributed profits.
1936-1937,"Over $2,000, not over  $15,000",11%,
1936-1937,"Over $15,000, not over $40,000",13%,
1936-1937,"Over $40,000",15%,
1932-1935,All taxable income,13.75%,"An additional “declared value” excess profits tax, based on profits in excess of a percentage of the value of corporate stock, was in effect from 1933 through 1945.  It was a deduction for income tax purposes."
1930-1931,"First $3,000",0%,
1930-1931,"Over $3,000",12%,
1929,"First $3,000",0%,
1929,"Over $3,000",11%,
1928,"First $3,000",0%,
1928,"Over $3,000",12%,
1926-1927,"First $2,000",0%,
1926-1927,"Over $2,000",13.50%,
1925,"First $2,000",0%,
1925,"Over $2,000",13%,
1922-1924,"First $2,000",0%,
1922-1924,"Over $2,000",12.50%,
1919-1921,"First $2,000",0%,
1919-1921,"Over $2,000",10%,
1918,"First $2,000",0%,
1918,"Over $2,000",12%,
1917,All taxable income,6%,An additional tax on “excess profits” and/or “war profits” was in effect from 1917 to 1922.  It was allowed as a deduction for computing income tax.
1916,All taxable income,2%,
1913-1915,All taxable income,1%,
